Language,Article_Title,Article_Text,Entity,Fame,Age Group,Gender,Role,Origin of Culture,Existence Type,Life Status,Era,Count,Pronoun/Verb in Wiki Article,Pronoun/Verb in Written Setting,Pronoun/Verb in Spoken Setting
Bengali,ঈশান,"ঈশান''' (সংস্কৃত ভাষায়: ईशान) শব্দ হিন্দু, বৌদ্ধ ইত্যাদি ধর্মে ঈশ্বর বা কোনো দেবতাকে বোঝায়। ঈশান একটি জনপ্রিয় নাম। এই নামের উল্লেখ শিব পুরাণে আছে, এবং এটি বিষ্ণুর নামও হয়।",Deity,Famous,Not Applicable,Gender Neutral/Non-Specific,Religion and Spirituality,Native,Mythological,Not Applicable,Historical,Singular,Non-Honorific,Honorific,Non-Honorific
Bengali,বৃত্র,"বৃত্র''' (সংস্কৃত: वृत्र) হল হিন্দুধর্মে বৈদিক সর্প, দানব, খরা, অশুভ ও বিশৃঙ্খলা এবং ইন্দ্রের প্রতিপক্ষ। বৃত্রকে অসুর হিসেবে চিহ্নিত করা হয়। বৃত্রের অপর নাম অহি বা সর্প।ঋগ্বেদ বঙ্গানুবাদ, রমেশচন্দ্র দত্ত । ১ম খণ্ড পৃঃ ৭৩, ১।৩২।১ ঋকের টিকা। অহি ষোলো পাকে ইন্দ্রকে আবৃত করেছিল। বৃষ্টিপাতে বাদাসৃষ্টিকারী কুণ্ডলীকৃত সর্পাকার মেঘ দেখে ঋষিগণ অহি বা সর্প কল্পনা করেছিলেন যা সূর্যকে আবেষ্ঠিত করেছিল। ইন্দ্র বৃত্রকে হত্যা করেন। বৃত্রবধের ফলে বৃষ্টিধারা পতিত হয়ে সমুদ্রাভিমুখী হয়।",Other Being,In Famous,Not Applicable,Gender Neutral/Non-Specific,Deity,Native,Mythological,Not Applicable,Historical,Singular,Non-Honorific,Non-Honorific,Non-Honorific
Bengali,অপূর্ব মুখার্জি,"অপূর্ব মুখার্জি''' হলেন একজন ভারতীয় রাজনীতিবিদ, যিনি সর্বভারতীয় তৃণমূল কংগ্রেসের রাজনীতির সাথে যুক্ত। তিনি ২০১১ সাল থেকে ২০১৬ সাল পর্যন্ত পশ্চিমবঙ্গ বিধানসভায় দুর্গাপুর পশ্চিম বিধানসভা কেন্দ্রের বিধায়ক হিসেবে দায়িত্ব পালন করেছেন।",Human,Famous,Adult,Male,Politics and Governance,Native,Real,Alive,Modern,Singular,Honorific,Honorific,Non-Honorific
Bengali,বৃত্র,"বৃত্র''' (সংস্কৃত: वृत्र) হল হিন্দুধর্মে বৈদিক সর্প, দানব, খরা, অশুভ ও বিশৃঙ্খলা এবং ইন্দ্রের প্রতিপক্ষ। বৃত্রকে অসুর হিসেবে চিহ্নিত করা হয়। বৃত্রের অপর নাম অহি বা সর্প।ঋগ্বেদ বঙ্গানুবাদ, রমেশচন্দ্র দত্ত । ১ম খণ্ড পৃঃ ৭৩, ১।৩২।১ ঋকের টিকা। অহি ষোলো পাকে ইন্দ্রকে আবৃত করেছিল। বৃষ্টিপাতে বাদাসৃষ্টিকারী কুণ্ডলীকৃত সর্পাকার মেঘ দেখে ঋষিগণ অহি বা সর্প কল্পনা করেছিলেন যা সূর্যকে আবেষ্ঠিত করেছিল। ইন্দ্র বৃত্রকে হত্যা করেন। বৃত্রবধের ফলে বৃষ্টিধারা পতিত হয়ে সমুদ্রাভিমুখী হয়।",Other Being,In Famous,Not Applicable,Gender Neutral/Non-Specific,Deity,Native,Mythological,Not Applicable,Historical,Singular,Non-Honorific,Non-Honorific,Non-Honorific
Bengali,বিদ্যা দেববর্মা,"বিদ্যা চন্দ্র দেববর্মা''' (১১ এপ্রিল ১৯১৬, বেহালাবাড়ি - ১৮ জুন ২০১০, আগরতলা ) ছিলেন ভারতের ত্রিপুরা রাজ্যের একজন কমিউনিস্ট রাজনীতিবিদ। ত্রিপুরার কমিউনিস্ট আন্দোলনের একজন বিশিষ্ট নেতা, দেববর্মা মোট নয় বছর জেলে এবং ১৩ বছর আন্ডারগ্রাউন্ড কর্মী হিসেবে কাটিয়েছেন। ছয়বারের রাজ্য বিধানসভার সদস্য এবং রাজ্য সরকারের মন্ত্রী, দেববর্মা কখনোই কোনো নির্বাচনে প্রতিদ্বন্দ্বিতা করে হেরে যাননি।",Human,Famous,Old,Male,Politics and Governance,Native,Real,Dead,Modern,Singular,Non-Honorific,Honorific,Non-Honorific
Bengali,আবদুর রহমান বিশ্বাস,আবদুর রহমান বিশ্বাস''' (২৬ সেপ্টেম্বর ১৯২৬-৩ নভেম্বর ২০১৭) ছিলেন বাংলাদেশের সাবেক রাষ্ট্রপতি। তিনি ১৯২৬ সালের ১ সেপ্টেম্বর বরিশালের শায়েস্তাবাদ গ্রামে জন্ম গ্রহণ করেন। মুক্তিযুদ্ধকালে তিনি স্বাধীনতা বিরোধী ছিলেন। তার আনুগত্য ছিল পাকিস্তান সরকারের প্রতি।,Human,Controversial,Old,Male,Politics and Governance,Native,Real,Dead,Modern,Singular,Non-Honorific,Honorific,Non-Honorific
Bengali,কেতু,"কেতু''' (সংস্কৃত: केतु, উচ্চারণ: Ketú; প্রতীক: ), হিন্দু জ্যোতিষ অনুসারে, এটি একটি অবরোহী লুনার নোড। পুরাণ অনুসারে, ইহা স্বরভানু নামক এক অসুরের কর্তিত ধড়; সমুদ্র মন্থনের সময় ভগবান বিষ্ণু আপন সুদর্শন চক্রের মাধ্যমে এর মুন্ড ছিন্ন করে দেন। বৈদিক জ্যোতিষশাস্ত্রে, একে নবগ্রহের মধ্যে একটি স্থান দেওয়া হয়েছে। এটি একটি ছায়া গ্রহ। thumb|tail of Demon Snake, Idol, British Museum",Other Being,In Famous,Not Applicable,Gender Neutral/Non-Specific,Deity,Native,Mythological,Not Applicable,Historical,Singular,Non-Honorific,Non-Honorific,Non-Honorific
Bengali,রাহু,"রাহু''' (প্রতীক: ), হিন্দু জ্যোতিষশাস্ত্র অনুসারে স্বরভানু নামক এক অসুরের কর্তিত মুন্ড, যে গ্রহণের সময় সূর্য বা চন্দ্রকে গ্রাস করে। একে আটটি শ্যামবর্ণ ঘোড়ায় টানা রথে আরূঢ় স্কন্ধহীন সর্পরূপে চিত্রিত করা হয়। বৈদিক জ্যোতিষশাস্ত্রে, একে নবগ্রহের মধ্যে একটি স্থান দেওয়া হয়েছে। দিবাভাগে রাহুকাল নামক মুহূর্তকে (২৪ মিনিট) অশুভ বলে গণ্য করা হয়। thumb|Rahu: Head of Demon Snake, Konark|Konarak Idol, British Museum",Other Being,In Famous,Not Applicable,Gender Neutral/Non-Specific,Deity,Native,Mythological,Not Applicable,Historical,Singular,Non-Honorific,Non-Honorific,Non-Honorific
Bengali,পঞ্চানন শিব,"thumb|left| পঞ্চানন শিব, চারপাশে বিষ্ণু, ব্রহ্মা, গণেশ ও অন্যান্য দেবতারা; লস এঞ্জেলস কাউন্টি মিউজিয়াম অফ আর্টের সংগ্রহ। '''পঞ্চানন''' () অর্থ পঞ্চমুখী। By Swami Harshananda পঞ্চানন বা পঞ্চব্রহ্ম বলতে শিবের পঞ্চমুখকে বোঝায় যা পঞ্চক্রিয়া বা পঞ্চকৃত্য সম্পন্ন করে। এগুলো হল- সৃজন (সৃষ্টি), সংরক্ষণ (স্থিথি), ধ্বংস (সংহার), অনুগ্রহ গোপন (তিরোভাব), এবং দয়া প্রকাশ (অনুগ্রহ)। শিবের এই পাঁচটি দিকের নাম ও গুণাবলী শৈব আগম এবং পুরাণে বর্ণিত হয়েছে।",Deity,Famous,Not Applicable,Gender Neutral/Non-Specific,Religion and Spirituality,Native,Mythological,Not Applicable,Historical,Singular,Non-Honorific,Honorific,Honorific
Bengali,সঞ্জনা (দেবী),"সঞ্জনা''' () বা '''সংজ্ঞা''' বা '''সরণ্যু''' বা '''ঊষা''' হলেন একজন হিন্দু দেবী এবং দেবতা সূর্যের প্রধান স্ত্রী। তিনি সর্বপ্রথম দেবীদের মধ্যে একজন এবং ঋগ্বৈদিক দেবী। হরিবংশ ও মার্কণ্ডেয় পুরাণ সহ পরবর্তী পাঠ্যগুলোতেও সরণ্যুর উল্লেখ পরিলক্ষিত হয়। সরণ্যুর সবচেয়ে বিশিষ্ট কিংবদন্তি হল তার সূর্যকে সাময়িক পরিত্যাগ করা এবং ছায়া সৃষ্টি করা। অধিকাংশ গ্রন্থে, সরণ্যু হলেন মৃত্যুর দেবতা যম, নদী-দেবী যমী, বৈবস্বত মনু, দিব্য যমজ চিকিৎসক অশ্বিনীকুমারগণ ও দেবতা রেবন্ত।",Deity,Famous,Not Applicable,Female,Religion and Spirituality,Native,Mythological,Not Applicable,Historical,Singular,Honorific,Honorific,Honorific
Bengali,শ্রুতি শেঠ,"শ্রুতি শেঠ''' (); (জন্ম: ১৮ ডিসেম্বর ১৯৭৭) হলেন একজন ভারতীয় টেলিভিশন অভিনেত্রী, ভিডিও জকি, চলচ্চিত্র অভিনেত্রী এবং ব্যাবসায়ী।",Human,Famous,Adult,Female,Entertainment,Native,Real,Alive,Modern,Singular,Honorific,Honorific,Non-Honorific
Bengali,রাহু,"রাহু''' (প্রতীক: ), হিন্দু জ্যোতিষশাস্ত্র অনুসারে স্বরভানু নামক এক অসুরের কর্তিত মুন্ড, যে গ্রহণের সময় সূর্য বা চন্দ্রকে গ্রাস করে। একে আটটি শ্যামবর্ণ ঘোড়ায় টানা রথে আরূঢ় স্কন্ধহীন সর্পরূপে চিত্রিত করা হয়। বৈদিক জ্যোতিষশাস্ত্রে, একে নবগ্রহের মধ্যে একটি স্থান দেওয়া হয়েছে। দিবাভাগে রাহুকাল নামক মুহূর্তকে (২৪ মিনিট) অশুভ বলে গণ্য করা হয়। thumb|Rahu: Head of Demon Snake, Konark|Konarak Idol, British Museum",Other Being,In Famous,Not Applicable,Gender Neutral/Non-Specific,Deity,Native,Mythological,Not Applicable,Historical,Singular,Non-Honorific,Non-Honorific,Non-Honorific
Bengali,জয়ন্তী,"জয়ন্তী''' (, ; বিজয়ী) হিন্দু পুরাণের একটি চরিত্র। তিনি স্বর্গের রাজা দেবরাজ ইন্দ্র এবং তাঁর স্ত্রী শচীর কন্যা। জয়ন্তীকে শুক্র গ্রহের দেবতা এবং অসুরদের গুরু শুক্রের স্ত্রী হিসাবে বর্ণনা করা হয়েছে। তাদের মিলনের ফলে একটি কন্যা দেবযানীর জন্ম হয়। জয়ন্তীকে জয়ন্তের বোন হিসেবেও বর্ণনা করা হয়। কখনও কখনও তিনি শুক্রের অন্য স্ত্রী উর্জস্বতীর সাথে পরিচিত হন।",Deity,Famous,Not Applicable,Female,Deity,Native,Mythological,Not Applicable,Historical,Singular,Honorific,Honorific,Honorific
Bengali,অলকা বলরাম ক্ষত্রিয়,শ্রীমতি অলকা বলরাম ক্ষত্রিয়''' ভারতীয় জাতীয় কংগ্রেস দলের রাজনীতিবিদ এবং ভারতীয় সংসদ রাজ্যসভায় গুজরাতের প্রতিনিধিত্বকারী সংসদ সদস্য।,Human,Famous,Adult,Female,Politics and Governance,Native,Real,Alive,Modern,Singular,Honorific,Honorific,Honorific
Bengali,বঙ্গমাতা,"বাংলা মা''' অথবা '''বঙ্গমাতা''' বাংলা রেঁনেসার যুগে বঙ্গভূমির কল্পিত একটি ব্যক্তি রূপ। পরবর্তীতে বাঙালী জাতীয়বাদীরা এই '''বাংলা মা''' বিষয়টি ব্যাপকভাবে ব্যবহার শুরু করে। বাংলা কবিতা, সাহিত্য, দেশাত্ববোধক গানে '''বাংলা মা''' প্রজাতন্ত্রের স্বরূপ হিসেবে চিত্রিত হয়েছে। বাংলাদেশের জাতীয় সংগীত আমার সোনার বাংলা রচয়িতে ও রবীন্দ্রনাথ ঠাকুর তার বিভিন্ন লেখায় একাধিকবার বাংলাকে মা হিসেবে সম্বোধন করেছেন। ভারতে ভারত মাতা বলে একই ধরনের একটি চরিত্র বর্ণনা করা হয়। অনেক সময় চিত্র শিল্পে ভারত মাতাকে শারিরীকভাবে ফুটিয়ে তোলা হয়। ভারত মাতা তেমনি এক উল্লেখযোগ্য শিল্পকর্ম। কিন্তু বাংলা মাকে সেভাবে কোন শিল্পকর্ম মাধ্যমে শারিরীকভাবে দৃশ্যায়িত করা হয় নি।",Other Being,Famous,Not Applicable,Female,Arts and Culture,Native,Mythological,Not Applicable,Modern,Singular,Non-Honorific,Honorific,Non-Honorific
Bengali,কেতু,"কেতু''' (সংস্কৃত: केतु, উচ্চারণ: Ketú; প্রতীক: ), হিন্দু জ্যোতিষ অনুসারে, এটি একটি অবরোহী লুনার নোড। পুরাণ অনুসারে, ইহা স্বরভানু নামক এক অসুরের কর্তিত ধড়; সমুদ্র মন্থনের সময় ভগবান বিষ্ণু আপন সুদর্শন চক্রের মাধ্যমে এর মুন্ড ছিন্ন করে দেন। বৈদিক জ্যোতিষশাস্ত্রে, একে নবগ্রহের মধ্যে একটি স্থান দেওয়া হয়েছে। এটি একটি ছায়া গ্রহ। thumb|tail of Demon Snake, Idol, British Museum",Other Being,In Famous,Not Applicable,Gender Neutral/Non-Specific,Deity,Native,Mythological,Not Applicable,Historical,Singular,Non-Honorific,Non-Honorific,Non-Honorific
Bengali,নীলিমা ইব্রাহিম,"নীলিমা ইব্রাহিম''' (১১ অক্টোবর ১৯২১ — ১৮ জুন ২০০২)সংসদ বাঙালি চরিতাভিধান, সম্পাদনা: অঞ্জলি বসু, ২য় খণ্ড, চতুর্থ সংস্করণ, সাহিত্য সংসদ, ২০১৫, কলকাতা হলেন বাংলাদেশের একজন বিশিষ্ট শিক্ষাবিদ, সাহিত্যিক ও সমাজকর্মী। ১৯৫৬ সালে তিনি ঢাকা বিশ্ববিদ্যালয়ে শিক্ষক হিসেবে যোগ দেন এবং ১৯৭২ সালে অধ্যাপক পদে উন্নীত হন। ১৯৭৪-৭৫ সালে তিনি বাংলা একাডেমির অবৈতনিক মহাপরিচালক ছিলেন।",Human,Famous,Old,Female,Education and Academia,Native,Real,Dead,Modern,Singular,Honorific,Honorific,Honorific
Bengali,অলক্ষ্মী,অলক্ষ্মী''' একজন হিন্দু দেবী। তিনি লক্ষ্মীর ছায়া এবং দুর্ভাগ্যের দেবী। অলক্ষ্মী কল্কি পুরাণ ও মহাভারত কথিত দৈত্য কলির দ্বিতীয়া স্ত্রী।,Deity,In Famous,Not Applicable,Female,Religion and Spirituality,Native,Mythological,Not Applicable,Historical,Singular,Honorific,Honorific,Non-Honorific
Bengali,কেতু,"কেতু''' (সংস্কৃত: केतु, উচ্চারণ: Ketú; প্রতীক: ), হিন্দু জ্যোতিষ অনুসারে, এটি একটি অবরোহী লুনার নোড। পুরাণ অনুসারে, ইহা স্বরভানু নামক এক অসুরের কর্তিত ধড়; সমুদ্র মন্থনের সময় ভগবান বিষ্ণু আপন সুদর্শন চক্রের মাধ্যমে এর মুন্ড ছিন্ন করে দেন। বৈদিক জ্যোতিষশাস্ত্রে, একে নবগ্রহের মধ্যে একটি স্থান দেওয়া হয়েছে। এটি একটি ছায়া গ্রহ। thumb|tail of Demon Snake, Idol, British Museum",Other Being,In Famous,Not Applicable,Gender Neutral/Non-Specific,Deity,Native,Mythological,Not Applicable,Historical,Singular,Non-Honorific,Non-Honorific,Non-Honorific
Bengali,স্বরভানু,"স্বরভানু''' (, ) হল একজন অসুর যাকে ঐতিহ্যগতভাবে বৈদিক পুরাণে সূর্যগ্রহণের জন্য আরোপিত করা হয়। নামটি পৌরাণিক কাহিনীতে অসুর রাহু ও কেতুর বৈশিষ্ট্য হিসাবেও ব্যবহৃত হয়, যারা সূর্যগ্রহণ ও চন্দ্রগ্রহণের সাথেও যুক্ত।",Other Being,In Famous,Not Applicable,Gender Neutral/Non-Specific,Deity,Native,Mythological,Not Applicable,Historical,Singular,Non-Honorific,Non-Honorific,Non-Honorific
Bengali,সিংহিকা,"সিংহিকা''' (, ) হল হিন্দুধর্মে একজন হিন্দু দেবী ও রাক্ষসী। তাকে রামায়ণে হনুমান ও বানরের শত্রু হিসাবে দেখা যায়।",Deity,In Famous,Not Applicable,Female,Deity,Native,Mythological,Not Applicable,Historical,Singular,Non-Honorific,Honorific,Non-Honorific
Bengali,চক্রবর্তী,"চক্রবর্তী''' () হলেন ভারতীয় ইতিহাস, ধর্ম এবং পৌরাণিক কাহিনী অনুসারে একজন আদর্শ বিশ্বজনীন শাসক। ধারণাটি ভারতীয় উপমহাদেশের সাংস্কৃতিক ঐতিহ্য, বর্ণনামূলক পৌরাণিক কাহিনী এবং উপাখ্যানে বিদ্যমান। চক্রবর্তী তিন প্রকার - চক্রবালা চক্রবর্তী (যিনি চারটি মহাদেশের শাসন করেন), দ্বীপ চক্রবর্তী (যিনি একটি মহাদেশের শাসন করেন) এবং প্রদেশ চক্রবর্তী (যিনি কোন মহাদেশের এক অংশের জনগণকে নেতৃত্ব দেন, স্থানীয় রাজার সমতুল্য)।",Other Being,Famous,Not Applicable,Gender Neutral/Non-Specific,Royalty and Nobility,Native,Mythological,Not Applicable,Historical,Singular,Honorific,Honorific,Honorific
Bengali,বাধনগড়ী মন্দির,"বাধনগড়ী মন্দির ( মা বাধনগড়ী মন্দির নামেও পরিচিত ) হল একটি প্রাচীন হিন্দু মন্দির যা ভগবান কালীর উদ্দেশ্যে নিবেদিত, মা দক্ষিণেশ্বর কালী বা ভগবতী নামে পূজিত। মানুষ থারালি, নারানবাগর, এর দেওয়ালে বসবাসকারী চামোলি এবং গারুর, এর বাগেশ্বর বদঙ্গারহি, এই অঞ্চলের একটি জনপ্রিয় দেবতা ও মহান বিশ্বাস আছে। এটা থারালি তহশীল অবস্থিত চামোলি গাড়োয়াল জেলা এর উত্তরাখন্ডে। বদঘাঙ্গারহি নিকটতম শহর গওয়ালদাম যা প্রধান বদঙ্গারহি মন্দির থেকে ৮ কিলোমিটার দূরে অবস্থিত। মন্দিরটি প্রায় ২২৬০ মিটার উচ্চতায় অবস্থিত",Deity,Famous,Not Applicable,Female,Religion and Spirituality,Native,Mythological,Not Applicable,Historical,Singular,Non-Honorific,Honorific,Honorific
Bengali,বৃত্র,"বৃত্র''' (সংস্কৃত: वृत्र) হল হিন্দুধর্মে বৈদিক সর্প, দানব, খরা, অশুভ ও বিশৃঙ্খলা এবং ইন্দ্রের প্রতিপক্ষ। বৃত্রকে অসুর হিসেবে চিহ্নিত করা হয়। বৃত্রের অপর নাম অহি বা সর্প।ঋগ্বেদ বঙ্গানুবাদ, রমেশচন্দ্র দত্ত । ১ম খণ্ড পৃঃ ৭৩, ১।৩২।১ ঋকের টিকা। অহি ষোলো পাকে ইন্দ্রকে আবৃত করেছিল। বৃষ্টিপাতে বাদাসৃষ্টিকারী কুণ্ডলীকৃত সর্পাকার মেঘ দেখে ঋষিগণ অহি বা সর্প কল্পনা করেছিলেন যা সূর্যকে আবেষ্ঠিত করেছিল। ইন্দ্র বৃত্রকে হত্যা করেন। বৃত্রবধের ফলে বৃষ্টিধারা পতিত হয়ে সমুদ্রাভিমুখী হয়।",Other Being,In Famous,Not Applicable,Gender Neutral/Non-Specific,Deity,Native,Mythological,Not Applicable,Historical,Singular,Non-Honorific,Non-Honorific,Non-Honorific
