Language,Article_Title,Article_Text,Entity,Fame,Age Group,Gender,Role,Origin of Culture,Existence Type,Life Status,Era,Count,Pronoun/Verb in Wiki Article,Pronoun/Verb in Written Setting,Pronoun/Verb in Spoken Setting
Hindi,द्विविद,एक दैत्य का नाम जिसका प्रसंग पुराण में आता है। श्रेणी:श्रीमद्भागवत श्रेणी:पौराणिक कथाएँ श्रेणी:महाभारत श्रेणी:महाभारत के पात्र,Other Being,In Famous,Not Applicable,Gender Neutral/Non-Specific,Deity,Native,Mythological,Not Applicable,Historical,Singular,Non-Honorific,Non-Honorific,Non-Honorific
Hindi,ऋचा घोष,"ऋचा घोष''' (जन्म 28 सितंबर 2003) एक भारतीय क्रिकेटर हैं। जनवरी 2020 में, 16 साल की उम्र में, उन्हें 2020 आईसीसी महिला टी 20 विश्व कप के लिए भारत की टीम में नामित किया गया था। बाद में उसी महीने, उसे 2020 ऑस्ट्रेलिया महिलाओं की त्रि-राष्ट्र श्रृंखला के लिए भारत के दस्तों में भी नामित किया गया। 12 फरवरी 2020 को, उसने त्रिकोणीय श्रृंखला के फाइनल में, ऑस्ट्रेलिया के खिलाफ, भारत के लिए अपना डब्ल्यूटी 20 आई पदार्पण किया।",Human,Famous,Juvenile,Female,Sports,Native,Real,Alive,Modern,Singular,Non-Honorific,Honorific,Non-Honorific
Hindi,मसानी अम्मान,"मसानी अम्मान''' एक हिंदू देवी हैं। उन्हें मुख्य रूप से तमिलनाडु में कुछ वर्गों द्वारा कुलदेवी के रूप में पूजा जाता है, जहाँ उन्हें महादेवी के अवतार (अभिव्यक्ति) के रूप में माना जाता है। उनका मंदिर तमिलनाडु राज्य, भारत के कोयंबटूर जिले के अन्नामलाई, पोलाची में स्थित है। अरुलमिगु मसानी अम्मन मंदिर जिसे अनामलाई मसानी अम्मन मंदिर भी कहा जाता है, अन्नामलाई में स्थित एक अत्यधिक प्रतिष्ठित मंदिर है, जो पोल्लाची से लगभग 24कि.मी. दक्षिण-पश्चिमी दूर स्थित है। यह अलियार नदी और उप्पर धारा के संगम पर स्थित है, जो शक्तिशाली अनाईमलाई पहाड़ियों की पृष्ठभूमि में घास के मैदानों के बीच बसा हुआ है।। मंदिर में देवी अरुलमिगु मसानी अम्मान को पीठासीन देवी के रूप में स्थापित किया गया है। देवी को सिर से पैर तक 15 फीट की लेटी हुई मुद्रा में देखा जाता है, जो अद्वितीय है। इस परिसर में पूजे जाने वाले अन्य देवताओं में ''नीति काल'' (न्याय का पत्थर) और महामुनियप्पन शामिल हैं। यहाँ पर एक लोकप्रिय मान्यता है कि मसानी अम्मन अपने त्रिशूल के के चारों ओर घूमने वाले की कोई भी बीमारी ठीक कर देती है।",Deity,Famous,Not Applicable,Female,Religion and Spirituality,Native,Mythological,Not Applicable,Historical,Singular,Honorific,Honorific,Honorific
Hindi,माया कोडनानी,माया कोडनानी''' गुजरात के नरोदा विधानसभा क्षेत्र से १२वीं विधान सभा के लिए निर्वाचित विधायक थी। वो तत्कालीन गुजरात सरकार में महिला एवं बाल विकास मंत्री थी। वो प्रथम महिला एवं विधायक हैं जिन्हें गोदरा कांड के बाद के दंगों में अपराधी पाया गया। किन्तु 20 अप्रैल 2018 को गुजरात हाई कोर्ट ने उनको निर्दोष घोषित कर दिया। '''सन्दर्भ''',Human,Controversial,Adult,Female,Politics and Governance,Native,Real,Alive,Modern,Singular,Non-Honorific,Honorific,Non-Honorific
Hindi,राजकुमार अछौबा सिंह,"राजकुमार अछौबा सिंह (Rajkumar Achouba Singh)''' (जन्म 5 दिसंबर 1938) एक भारतीय शास्त्रीय नर्तक और शिक्षक हैं जिन्हें मणिपुरी नृत्य रूप रास और लाई हरोबा पर उनके विद्वत्ता के लिए जाना जाता है। उन्हे मणिपुरी संस्कृति पर कई किताबों और लेखों का श्रेय दिया जाता है। वह जवाहरलाल नेहरू मणिपुर नृत्य अकादमी, इम्फाल के पूर्व प्रधानाध्यापक हैं। वह रास और लाई हरोबा में पोस्ट ग्रेजुएट डिग्री धारक हैं। वह सरकारी नृत्य कॉलेज, इंफाल में एक अतिथि शिक्षक भी रहे हैं। उन्हें भारत सरकार द्वारा 2010 में, देश के चौथे उच्चतम भारतीय नागरिक पुरस्कार पद्म श्री से सम्मानित किया गया था। वह मणिपुर राज्य पुरस्कार के भी प्राप्तकर्ता हैं।",Human,Famous,Old,Male,Arts and Culture,Native,Real,Alive,Modern,Singular,Non-Honorific,Honorific,Non-Honorific
Hindi,राणा सफ़वी,"राणा सफ़वी''' (जन्म 1957) एक भारतीय स्तंभकार, लेखक और इतिहासकार हैं। वह इन सर्च ऑफ़ द डिवाइन और द फॉरगॉटन सिटीज ऑफ डेल्ही सहित दस पुस्तकों की लेखिका हैं। वह Scroll.in, डेलीओ, दिप्रिंट, इंडियन एक्सप्रेस, मिंट, द वायर, बिजनेस लाइन, द क्विंट, आउटलुक, न्यूज़क्लिक के लिए लिखती हैं। , इकोनॉमिक एंड पॉलिटिकल वीकली, नेशनल हेराल्ड, न्यूज18, नया दौर, टीआरटी वर्ल्ड, और द हिंदू। कौन बनेगा करोड़पति में उनकी किताब से जुड़ा एक सवाल पूछा गया था.",Human,Famous,Adult,Female,Literature and Philosophy,Native,Real,Alive,Modern,Singular,Honorific,Honorific,Honorific
Hindi,धेनुक,धेनुक या धेनुकासुर कंस का एक गधा रूपी दानव था वह कश्यप प्रजापति का पुत्र था जो दनु के गर्भ से उत्पन्न हुआ था जिसका प्रसंग पुराणों में आता है। उसका वध बलराम रूपी नागराज शेषनाग ने किया था। श्रेणी:श्रीमद्भागवत श्रेणी:पौराणिक कथाएँ श्रेणी:महाभारत श्रेणी:महाभारत के पात्र,Other Being,In Famous,Not Applicable,Male,Mythological,Native,Mythological,Dead,Historical,Singular,Non-Honorific,Non-Honorific,Non-Honorific
Hindi,प्रलम्बा,एक दैत्य का नाम जिसका प्रसंग पुराण में आता है। श्रेणी:श्रीमद्भागवत श्रेणी:पौराणिक कथाएँ श्रेणी:महाभारत श्रेणी:महाभारत के पात्र,Other Being,In Famous,Not Applicable,Gender Neutral/Non-Specific,Mythological,Native,Mythological,Not Applicable,Historical,Singular,Non-Honorific,Non-Honorific,Non-Honorific
Hindi,प्रलम्बा,एक दैत्य का नाम जिसका प्रसंग पुराण में आता है। श्रेणी:श्रीमद्भागवत श्रेणी:पौराणिक कथाएँ श्रेणी:महाभारत श्रेणी:महाभारत के पात्र,Other Being,In Famous,Not Applicable,Gender Neutral/Non-Specific,Mythological,Native,Mythological,Not Applicable,Historical,Singular,Non-Honorific,Non-Honorific,Non-Honorific
Hindi,चाणूड़,एक दैत्य का नाम जिसका प्रसंग पुराण में आता है। श्रेणी:श्रीमद्भागवत श्रेणी:पौराणिक कथाएँ श्रेणी:महाभारत श्रेणी:महाभारत के पात्र श्रेणी:महाभारत के पात्र,Other Being,In Famous,Not Applicable,Gender Neutral/Non-Specific,Mythological,Native,Mythological,Not Applicable,Historical,Singular,Non-Honorific,Non-Honorific,Non-Honorific
Hindi,लुइ नील,विख्यात व्यक्ति,Human,Famous,Not Applicable,Gender Neutral/Non-Specific,Others,Native,Real,Not Applicable,Modern,Singular,Honorific,Honorific,Non-Honorific
Hindi,छोटा राजन,छोटा राजन''' या राजेन्द्र सदाशिव निकाळजे भारत के एक प्रमुख माफिया डॉन है। बडा राजन के साथी थे।,Human,In Famous,Adult,Male,Criminals,Native,Real,Alive,Modern,Singular,Non-Honorific,Non-Honorific,Non-Honorific
Hindi,गंडभेरुंड,गंडभेरुंड''' एक दैवीय पक्षी जिसका अंकन भारतीय सनातन धर्म में पाया जाता है। इसके एक धड़ गरुड़ के सदृश होता है। यह अपने दोनों चोंच तथा पंजे में हाथी दबोचे अंकित किया जाता है। इसका प्राचीनतम अंकन विजयनगर के आरंभकालिक कतिपय सिक्कों पर पाया जाता है दक्षिण के शैव मंदिरों में उत्सव मूर्तियों के रूप में गंडभेरुंड देखने में आता है। मैसूर रियासत के राजचिन्ह के रूप में इस प्रतीक का प्रयोग हुआ है। इस पक्षी के संबंध में जनश्रुति है कि जब राक्षस हिरण्यकश्यप के मारने के पश्चात् भी जब भगवान नृसिंह का क्रोध शांत नहीं हुआ तब गंडभेरुंड उन्हें अपने पंजे में दबोच कर आकाश में ले उड़ा था।,Deity,Famous,Not Applicable,Gender Neutral/Non-Specific,Religion and Spirituality,Native,Mythological,Not Applicable,Historical,Singular,Non-Honorific,Honorific,Non-Honorific
Hindi,कावेरी कचारी,काबेरी कचारी प्रतिबंधित संगठन उल्फा की महिला विंग की प्रमुख हैं । वह संगठन के अध्यक्ष अरबिंद राजखोवा की पत्नी भी हैं । वह अपने कॉलेज के दिनों से ही अपनी काव्य उत्कृष्टता के लिए जानी जाती थीं।,Human,Controversial,Adult,Female,In Famous/Controversial Activists,Native,Real,Alive,Modern,Singular,Non-Honorific,Honorific,Non-Honorific
Hindi,कावेरी कचारी,काबेरी कचारी प्रतिबंधित संगठन उल्फा की महिला विंग की प्रमुख हैं । वह संगठन के अध्यक्ष अरबिंद राजखोवा की पत्नी भी हैं । वह अपने कॉलेज के दिनों से ही अपनी काव्य उत्कृष्टता के लिए जानी जाती थीं।,Human,Controversial,Adult,Female,In Famous/Controversial Activists,Native,Real,Alive,Modern,Singular,Non-Honorific,Honorific,Non-Honorific
Hindi,पूतना,"पूतना एक महिला दैत्य थी जिसका प्रसंग पुराण में आता है। कंस ने मथुरा के राजा अपने पिता उग्रसेन से उनका राज्य छीनकर अपने अधीन कर लिया तथा स्वयं शासक बनकर आत्याचार करने लगा। एक भविष्यवाणी द्वारा उसे पता चला कि वसुदेव और देवकी का आठवाँ पुत्र उसके विनाश का कारण होगा। यह जानकर कंस व्याकुल हो उठा और उसने वासुदेव तथा देवकी को कारागार में डाल दिया। कारागार में जन्म लेने वाले देवकी के छः पुत्रों को कंस ने मौत के घाट उतार दिया। आठवें पुत्र के रूप में कृष्ण का जन्म हुआ और उनके प्रताप से कारागार के द्वार खुल गए। वसुदेव रातों रात कृष्ण को गोकुल में नंद और यशोदा के घर पर रखकर उनकी नवजात कन्या को अपने साथ लेते आए। कंस ने जब इस कन्या को मारना चाहा तो वह अदृश्य हो गई और आकाशवाणी हुई कि कंस को मारने वाले तो गोकुल में जन्म ले चुका है। कंस यह सुनकर डर गया और उसने उसदिन गोकुल में जन्म लेने वाले हर शिशु की हत्या कर देने की योजना बनाई। इसके लिए उसने अपने आधीन काम करने वाली अत्यन्त कामुक स्वभाव वाली, विशाल काय, लम्बे लम्बे बाल, लाल आँखे, पर्वत के समान बढे और कठोर स्तन, लम्बी लम्बी हाथें, बढे नितम्ब वाली पूतना नामक राक्षसी को किसि भी प्रकार से वध करने के लिए भेजा। वह सुंदर रूप बना सकती थी और महिलाओं में आसानी से घुलमिल जाती थी। वह कामेच्छा और मारने के उद्देश्य से अपने स्तन से स्तनपान के बहाने शिशुओं को विषपान कराना था। अनेक शिशु उसका शिकार हुए लेकिन कृष्ण उसकी सच्चाई को समझ गए और उन्होंने पूतना का स्तन पान किया फिर स्तन से ही प्राण का भी पान करके वध कर दिया। पूतना श्राप से मुक्त होकर पुन: रत्नावली के रुप मे आगइ फिर अपने पिता राजा बलि के साथ सुतल लोक मे चलि गइ। यह फाल्गुन पूर्णिमा का दिन था।",Other Being,In Famous,Not Applicable,Female,Mythological,Native,Mythological,Dead,Historical,Singular,Honorific,Non-Honorific,Non-Honorific
Hindi,चाणूड़,एक दैत्य का नाम जिसका प्रसंग पुराण में आता है। श्रेणी:श्रीमद्भागवत श्रेणी:पौराणिक कथाएँ श्रेणी:महाभारत श्रेणी:महाभारत के पात्र श्रेणी:महाभारत के पात्र,Other Being,In Famous,Not Applicable,Gender Neutral/Non-Specific,Mythological,Native,Mythological,Not Applicable,Historical,Singular,Non-Honorific,Non-Honorific,Non-Honorific
Hindi,ऋचा घोष,"ऋचा घोष''' (जन्म 28 सितंबर 2003) एक भारतीय क्रिकेटर हैं। जनवरी 2020 में, 16 साल की उम्र में, उन्हें 2020 आईसीसी महिला टी 20 विश्व कप के लिए भारत की टीम में नामित किया गया था। बाद में उसी महीने, उसे 2020 ऑस्ट्रेलिया महिलाओं की त्रि-राष्ट्र श्रृंखला के लिए भारत के दस्तों में भी नामित किया गया। 12 फरवरी 2020 को, उसने त्रिकोणीय श्रृंखला के फाइनल में, ऑस्ट्रेलिया के खिलाफ, भारत के लिए अपना डब्ल्यूटी 20 आई पदार्पण किया।",Human,Famous,Juvenile,Female,Sports,Native,Real,Alive,Modern,Singular,Non-Honorific,Honorific,Non-Honorific
Hindi,तृणावर्त,एक दैत्य का नाम जिसका प्रसंग पुराण में आता है। श्रेणी:श्रीमद्भागवत श्रेणी:पौराणिक कथाएँ श्रेणी:महाभारत श्रेणी:महाभारत के पात्र,Other Being,In Famous,Not Applicable,Gender Neutral/Non-Specific,Mythological,Native,Mythological,Not Applicable,Historical,Singular,Non-Honorific,Non-Honorific,Non-Honorific
Hindi,भौमासुर,एक दैत्य का नाम जिसका प्रसंग पुराण में आता है। श्रेणी:श्रीमद्भागवत श्रेणी:पौराणिक कथाएँ श्रेणी:महाभारत श्रेणी:महाभारत के पात्र,Other Being,In Famous,Not Applicable,Male,Mythological,Native,Mythological,Not Applicable,Historical,Singular,Non-Honorific,Non-Honorific,Non-Honorific
Hindi,तृणावर्त,एक दैत्य का नाम जिसका प्रसंग पुराण में आता है। श्रेणी:श्रीमद्भागवत श्रेणी:पौराणिक कथाएँ श्रेणी:महाभारत श्रेणी:महाभारत के पात्र,Other Being,In Famous,Not Applicable,Gender Neutral/Non-Specific,Mythological,Native,Mythological,Not Applicable,Historical,Singular,Non-Honorific,Non-Honorific,Non-Honorific
Hindi,द्विविद,एक दैत्य का नाम जिसका प्रसंग पुराण में आता है। श्रेणी:श्रीमद्भागवत श्रेणी:पौराणिक कथाएँ श्रेणी:महाभारत श्रेणी:महाभारत के पात्र,Other Being,In Famous,Not Applicable,Gender Neutral/Non-Specific,Deity,Native,Mythological,Not Applicable,Historical,Singular,Non-Honorific,Non-Honorific,Non-Honorific
Hindi,तृणावर्त,एक दैत्य का नाम जिसका प्रसंग पुराण में आता है। श्रेणी:श्रीमद्भागवत श्रेणी:पौराणिक कथाएँ श्रेणी:महाभारत श्रेणी:महाभारत के पात्र,Other Being,In Famous,Not Applicable,Gender Neutral/Non-Specific,Mythological,Native,Mythological,Not Applicable,Historical,Singular,Non-Honorific,Non-Honorific,Non-Honorific
Hindi,तुर्वसु,"तुर्वसु''' देवयानी और ययाति का द्वितीय पुत्र तथा यदु का छोटा भाई था। पिता को अपना यौवन देने से अस्वीकार करने पर ययाति ने उसे संतानहीन और म्लेच्छ राजा होने का शाप दिश था (महाभारत आदिपर्व ८४)। पौराणिक तुर्वसु, वैदिक तुर्वश का परवर्ती रूप माना जाता है जिसका ऋग्वेद में यदु (१.१७४), सुदास (७.१८), इंद्र, दिवोदास (१.३६) और वृची वंतों के साथ अनेक बार उल्लेख हुआ है। उन संदर्भों के आधार पर इसे किसी परवर्ती आर्यकुल और उसके योद्धा नामक दोनों के रूप में स्वीकार किया जाता है। परवर्ती वैदिक साहित्य में तुर्वश पांचालों के सहायक रूप में वर्णित हुए हैं (शतपथ ब्राह्मण १३-५)। अनेक प्रसंगों के आधार पर इस आर्य जाति का उत्तर-पशिचम से कुरु पांचाल तथा भरत के लोगों की राज्यसीमा तक आना सिद्ध होता है। वैदिक तथ पौराणिक उल्लेखों में आर्य जाति तथा आर्यकुल के पूर्वज योद्धा के रूप में तुर्वसु की स्थिति विवादास्पद है। अग्निपुराण के अनुसार द्रुुहयु वंश, तुर्वसु वंश की शाखा थी जो आगे चलकर पौरव कुल में मिल गई। कहा जाता है कि पांड्य तथा चोल आदि राजवंश की स्थापना तुर्वशों ने की थी।",Human,Controversial,Not Applicable,Male,Royalty and Nobility,Native,Mythological,Not Applicable,Historical,Singular,Non-Honorific,Honorific,Non-Honorific
Hindi,नूपुर शर्मा,"नुपुर शर्मा''' (जन्म 23 अप्रैल 1985) एक भारतीय राजनीतिज्ञ और वकील हैं। वह जून 2022 तक भारतीय जनता पार्टी (भाजपा) की राष्ट्रीय प्रवक्ता थीं। तेजतर्रार और स्पष्टवादी मानी जाने वाली नुपुर शर्मा ने आधिकारिक प्रवक्ता के रूप में अक्सर भारतीय टेलीविजन बहसों में भाजपा का प्रतिनिधित्व किया। जून 2022 में, इस्लामी पैग़म्बर मुहम्मद और उनकी तीसरी पत्नी, आयशा की उम्र के बारे में टिप्पणी के कारण उन्हें पार्टी से निलम्बित कर दिया गया था।",Human,Controversial,Adult,Female,Politics and Governance,Native,Real,Alive,Modern,Singular,Non-Honorific,Honorific,Non-Honorific
